,IRIS,COM,ANNEE,P_POP,P_POP0002,P_POP0305,P_POP0610,P_POP1117,P_POP1824,P_POP2539,P_POP4054,P_POP5564,P_POP6579,P_POP80P
62,690810104,69081,2015,1941.1014371563592,55.13525868650514,90.26845431170172,132.95796437630253,190.39885309773356,224.72100168575025,212.08059673707675,424.5397944157774,254.91166621029623,299.1189945477974,56.96885308741833
63,690810302,69081,2016,2781.3503261368883,73.75511794890173,68.40918030190281,118.72481867780672,214.8850955297223,194.55296699596624,339.5214142615678,456.6819938290861,308.9735321703349,634.1688749797947,371.6773314418048
64,690810301,69081,2016,2977.3851714768143,138.25157466775596,104.42615171401371,210.1653631628905,323.1790072879069,296.68621759822724,379.526603012152,688.054547296472,316.3635162476642,353.80456869292345,166.92762179680827
65,690810202,69081,2016,2283.997232684522,71.19692532172726,63.79950951666123,194.1898295235412,200.40587945102368,237.5238671665164,350.79604946808166,360.8253326925446,247.40645815645425,295.10935298192686,262.7440284060446
66,690810201,69081,2016,2249.7094213443897,32.92091464834706,54.36749302801861,88.12053909664608,202.15338152547864,902.1282138465256,283.8387892384623,281.45700525052854,109.64572224735312,229.30453340563776,65.77282905739175
67,690810103,69081,2016,80.23641593126355,2.80199622857552,5.60399245715104,2.80199622857552,3.26832433828809,11.02884028426111,6.21402176766918,15.55266667282088,12.89627596923121,4.43015853519446,15.63814344949654
68,690810104,69081,2016,1950.475852701328,48.89304210745876,86.65444044002449,146.16329874944967,176.5060945050929,219.5903880715801,190.47248021661076,440.37678898278665,255.6250191545696,328.174810766304,58.01948970745117
69,690810102,69081,2016,1890.9521578694523,84.59852118160288,79.95405587508215,134.34875163605764,165.16002676979312,115.35728635458766,417.2259114823837,303.12023797175704,209.98391002043456,221.35852924221524,159.84492733553853
70,690810101,69081,2016,1863.0975724659816,127.58067059051336,125.79188264636976,152.33747885864,192.2976559189866,160.0257501602975,314.3794996231296,306.1728360702997,192.68076103648843,196.8307841548877,95.00025340636904
71,690810105,69081,2016,2019.7958493893605,47.47472153187366,60.25174516115553,122.23232165158872,199.2669915938183,239.5862790891862,219.90250805689263,421.69293689109537,326.2283546501052,236.0612965029124,147.09869426073232
72,690810302,69081,2017,2763.69550118724,83.4999968816381,61.1743731967147,119.864251966915,211.015284884913,208.923415698857,337.058997433623,437.725360207429,300.791284561288,637.386870741278,366.255665614588
73,690810301,69081,2017,3050.52710889802,119.86056016578,118.929054699932,220.566482985331,339.512355696,325.980517789897,358.455938322109,736.570287987052,307.619075890196,356.974139699072,166.058695662651
74,690810201,69081,2017,2360.83700521581,47.4457556611088,41.9240750078345,103.354496759798,192.901929100859,911.761760241309,326.035503197461,306.047540653777,128.307781838252,238.950960918478,64.107201836932
75,690810105,69081,2017,1978.71741884259,45.6414697815448,48.8884041939464,119.018874632835,202.371577829993,230.061924729046,176.983823903881,417.903048446891,349.119530587056,248.573935247719,140.154829489674
76,690810202,69081,2017,2311.51164606118,74.7104906673813,64.8748279668161,195.448667414215,218.578964672232,258.806128580891,372.074030847287,362.418377964946,209.552332340746,288.251389478202,266.796436128464
77,690810103,69081,2017,80.3131447977797,2.76907892396572,5.53815784793144,2.76907892396572,3.22992870209491,10.8992756219581,6.48079752484835,11.9980152521213,13.0845499087456,8.08983249858418,15.4544295935644
78,690810102,69081,2017,2040.65307578809,118.445855365871,98.4136004876672,140.264989648652,180.311502520105,131.136684030868,465.457296739097,315.95193503367,220.921371164541,226.685639698106,143.064201099513
79,690810101,69081,2017,1865.7884136106,103.489792373361,115.102912324064,167.121883906103,197.719926718922,186.963492655783,298.095263868335,291.877166495142,211.06483287088,199.39107766875,94.9620647292572
80,690810104,69081,2017,2064.95668559869,54.3507220288025,97.5454571362887,147.611380731993,213.304003567175,221.783855904749,207.625405536247,476.100223463999,262.488434399307,296.35396543939,87.7932373907394
81,690810301,69081,2018,3023.99604829834,119.756600934548,118.527186212465,218.112915653014,363.828408074249,337.014118290058,354.459474497665,733.923953919922,295.4762556499,330.173387714563,152.72374735196
82,690810101,69081,2018,1777.22491735271,88.2026159679091,102.048272196883,145.863436769297,182.035619541719,188.783286942731,289.93704395167,246.907662938959,222.177119662745,209.594330326252,101.675529054546
83,690810102,69081,2018,2053.22253712124,114.19269235336,94.1616308806643,142.596221164733,175.822187930962,145.570796148522,466.706121009771,331.745950061151,222.91450109945,214.842834474144,144.669601998483
84,690810103,69081,2018,57.9788673337948,2.24364137381832,4.48728274763664,2.24364137381832,2.61704410364909,8.83111908383339,5.2510549035796,9.72137095493482,10.6017337674901,3.00741352976128,8.97456549527328
85,690810104,69081,2018,2060.22797087835,53.5811424197346,91.5806599052659,171.464045681431,244.973228473215,188.761727463415,224.813432319488,444.440281944602,273.970704391865,261.156687343155,105.486060936182
86,690810105,69081,2018,2022.78495298085,47.1610548437317,47.3747889155812,153.491107860998,186.2021995519,217.997811820263,178.526751379083,431.35909154918,369.592422723415,268.585550743071,122.494173593628
87,690810201,69081,2018,2430.78053350316,46.3320409297513,48.5003910079551,124.297725940426,174.986810126497,940.394628261247,351.816651586455,308.156613044461,147.170850872626,227.686961159043,61.4378605746938
88,690810202,69081,2018,2416.44411507739,68.7472250007728,72.3473722311889,208.160414893626,259.345552653251,246.909187052947,341.012745115041,394.975347905021,198.209459562283,333.151459117616,293.585351545642
89,690810302,69081,2018,2744.34005745416,91.865426616422,53.2399915896938,107.659796316856,211.685311206337,241.662770099631,339.305922224792,456.06564876114,302.675198374284,586.904266824733,353.275725440275
